route_id,module_tags,total_runs,full_runs,full_failed_runs,full_flaky_runs,log_signal_runs,log_failed_runs,log_flaky_runs,failed_runs,flaky_runs,attempt_failures,pass_rate,failed_runs_macos,failed_runs_windows,last_outcome,last_failed_at,top_error_signature
"automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > creates, runs, disables, and restores a visual recurring scheduled task",automation;calendar,581,579,0,0,581,0,2,0,2,2,1.0000,0,0,passed,,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > defaults new Agent schedule timing to one hour before start,automation;calendar,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > does not show a source edit action for fallback subscription source details,automation;calendar,582,579,0,0,582,1,2,1,2,3,1.0000,1,0,passed,2026-07-13T23:51:42Z,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > edits a schedule group directly from the calendar groups panel,automation;calendar,583,579,0,0,583,0,4,0,4,4,1.0000,0,0,passed,,Error: Timeout 10000ms exceeded while waiting on the predicate
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > formats access denied run records as account status guidance,automation;calendar,579,579,1,0,579,1,0,1,0,3,0.9983,1,0,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > formats failed terminal run records with a sanitized task failure message,automation;calendar,581,579,1,0,581,3,0,3,0,5,0.9983,2,1,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > hides linked source event from the month cell while keeping it in detail tabs,automation;calendar,352,298,7,0,352,61,0,61,0,75,0.9765,50,11,skipped,2026-07-13T18:32:47Z,Error: expect(locator).toHaveCount(expected) failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps Agent follow-up fields stacked and aligns their row chevrons,automation;calendar,693,579,0,24,693,5,133,5,133,140,0.9585,5,0,passed,2026-06-26T03:37:03Z,Error: expect(received).toBeLessThanOrEqual(expected)
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps day-view dense cluster rows accessible by internal scroll (recvmMFtNOsMni),automation;calendar,447,447,0,0,447,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps export share close separate from file export and opens the calendar store link,automation;calendar,582,579,0,0,582,2,1,2,1,3,1.0000,1,1,passed,2026-05-27T14:48:06Z,"Error: locator.click: Error: strict mode violation: getByRole('button', { name: 'Export Share' }) resolved to 3 elements:"
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps Guardian analysis and history available after enabling automation from a source event,automation;calendar,313,298,0,0,313,15,0,15,0,15,1.0000,15,0,skipped,2026-07-13T18:18:51Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps right panel agenda and details visible when a calendar group is hidden,automation;calendar,580,579,0,1,580,0,2,0,2,2,0.9983,0,0,passed,,
"automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps source event, automation plan, and run record in one detail tab group",automation;calendar,593,579,1,0,593,13,2,13,2,17,0.9983,9,4,passed,2026-07-08T18:47:45Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps the new schedule title caret inset from the editor edge,automation;calendar,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps the selected recurring run occurrence when toggling plan and run tabs,automation;calendar,592,579,1,0,592,12,2,12,2,16,0.9983,5,7,passed,2026-07-08T18:47:45Z,Error: page.evaluate: Error: automation_task_rrule_no_future_occurrence
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > keeps the selected scheduled date when a run starts on a later day,automation;calendar,587,579,1,0,587,9,0,9,0,11,0.9983,4,5,passed,2026-07-08T18:47:45Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > lists newly persisted Agent spaces in the schedule workspace dropdown,automation;calendar,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > omits display content controls from the calendar groups panel,automation;calendar,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > opens linked Floatboat task editor for legacy native source IDs without a load alert,automation;calendar,580,579,0,0,580,0,1,0,1,1,1.0000,0,0,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > opens run records that do not have a linked runtime session,automation;calendar,582,579,1,0,582,3,1,3,1,6,0.9983,2,1,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
