route_id,platform,module_tags,total_runs,full_runs,full_failed_runs,full_flaky_runs,log_signal_runs,log_failed_runs,log_flaky_runs,failed_runs,flaky_runs,attempt_failures,pass_rate,last_outcome,last_failed_at,top_error_signature
auth.spec.ts :: Authentication > login page hides the global sidebar after logout,windows,app-shell,121,98,0,1,121,17,7,17,7,24,0.9898,passed,2026-07-03T11:30:33Z,Error: expect(locator).toBeVisible() failed
auth.spec.ts :: Authentication > login process is stable across multiple attempts,macos,app-shell,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
auth.spec.ts :: Authentication > login process is stable across multiple attempts,windows,app-shell,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
auth.spec.ts :: Authentication > logout clears session and returns to login state,macos,app-shell,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
auth.spec.ts :: Authentication > logout clears session and returns to login state,windows,app-shell,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
automation-disable-task-keeps-focus-recvm7SK9ZIi6n.spec.ts :: 停用自动化任务保持焦点 (recvm7SK9ZIi6n) > 停用任务后事件卡片保持焦点、视口不滚到当天第一条事件,macos,automation,148,147,0,0,148,1,0,1,0,1,1.0000,passed,2026-06-16T04:38:26Z,Error: expect(locator).toBeVisible() failed
automation-disable-task-keeps-focus-recvm7SK9ZIi6n.spec.ts :: 停用自动化任务保持焦点 (recvm7SK9ZIi6n) > 停用任务后事件卡片保持焦点、视口不滚到当天第一条事件,windows,automation,100,98,0,0,100,1,1,1,1,2,1.0000,passed,2026-06-16T04:38:26Z,Error: expect(locator).toBeVisible() failed
automation-orphan-workspace-recvngE93af3ZZ.spec.ts :: Automation orphan workspace handling (recvngE93af3ZZ) > keeps subscription automation editable and disables Run Now after the bound workspace is deleted,macos,automation,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
automation-orphan-workspace-recvngE93af3ZZ.spec.ts :: Automation orphan workspace handling (recvngE93af3ZZ) > keeps subscription automation editable and disables Run Now after the bound workspace is deleted,windows,automation,99,98,0,0,99,1,0,1,0,1,1.0000,passed,2026-07-03T12:10:28Z,Error: expect(locator).toHaveCount(expected) failed
"automation-output-dir-by-workspace-recvkkmW7ZzpQz.spec.ts :: Automation output directory keyed by Agent space, not schedule name (recvkkmW7ZzpQz) > different schedules in the same workspace land under one Agent-space Auto Prep root, keyed on stable event id",macos,automation;calendar,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
"automation-output-dir-by-workspace-recvkkmW7ZzpQz.spec.ts :: Automation output directory keyed by Agent space, not schedule name (recvkkmW7ZzpQz) > different schedules in the same workspace land under one Agent-space Auto Prep root, keyed on stable event id",windows,automation;calendar,99,98,0,0,99,0,1,0,1,1,1.0000,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
"automation-output-dir-by-workspace-recvkkmW7ZzpQz.spec.ts :: Automation output directory keyed by Agent space, not schedule name (recvkkmW7ZzpQz) > re-saving the same schedule (same event id, changed title) reuses the SAME folder",macos,automation;calendar,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
"automation-output-dir-by-workspace-recvkkmW7ZzpQz.spec.ts :: Automation output directory keyed by Agent space, not schedule name (recvkkmW7ZzpQz) > re-saving the same schedule (same event id, changed title) reuses the SAME folder",windows,automation;calendar,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
automation-queued-run-links-recvnyhqday3MJ.spec.ts :: Automation queued run links (recvnyhqday3MJ) > opens queued latest-run affordances into the run-history detail instead of doing nothing,macos,automation,64,64,0,0,64,0,0,0,0,0,1.0000,passed,,
automation-queued-run-links-recvnyhqday3MJ.spec.ts :: Automation queued run links (recvnyhqday3MJ) > opens queued latest-run affordances into the run-history detail instead of doing nothing,windows,automation,46,46,0,0,46,0,0,0,0,0,1.0000,passed,,
automation-recurring-occurrence-run-history-recvoL1bxMkDBv.spec.ts :: Recurring Automation occurrence run history (recvoL1bxMkDBv) > shows only the selected occurrence run in the run-history tab,macos,automation,78,66,0,0,78,12,0,12,0,12,1.0000,passed,2026-07-10T19:30:06Z,Error: page.evaluate: Error: automation_task_rrule_no_future_occurrence
automation-recurring-occurrence-run-history-recvoL1bxMkDBv.spec.ts :: Recurring Automation occurrence run history (recvoL1bxMkDBv) > shows only the selected occurrence run in the run-history tab,windows,automation,58,46,0,0,58,12,0,12,0,12,1.0000,passed,2026-07-10T19:30:06Z,Error: page.evaluate: Error: automation_task_rrule_no_future_occurrence
automation-recurring-occurrence-run-isolation-recvoRn8X2aWRS.spec.ts :: Automation recurring occurrence run isolation (recvoRn8X2aWRS) > does not show one recurring occurrence run on adjacent dates,macos,automation,1,1,0,0,1,0,0,0,0,0,1.0000,passed,,
automation-recurring-occurrence-run-isolation-recvoRn8X2aWRS.spec.ts :: Automation recurring occurrence run isolation (recvoRn8X2aWRS) > does not show one recurring occurrence run on adjacent dates,windows,automation,1,1,0,0,1,0,0,0,0,0,1.0000,passed,,
automation-resume-tab-click-recvmNvf3124qi.spec.ts :: Automation detail tabs after wake/focus refresh (recvmNvf3124qi) > switches detail tabs immediately after a simulated system resume refresh,macos,automation,2,2,0,0,2,0,0,0,0,0,1.0000,passed,,
automation-resume-tab-click-recvmNvf3124qi.spec.ts :: Automation detail tabs after wake/focus refresh (recvmNvf3124qi) > switches detail tabs immediately after a simulated system resume refresh,windows,automation,1,1,0,0,1,0,0,0,0,0,1.0000,passed,,
automation-run-artifact-folder-only-recvlg9ouvsmyq.spec.ts :: Automation run artifact folder-only fallback (recvlg9OUVSmYq) > enumerates per-file artifact entries when 产出物 section only shows a folder path,macos,automation,156,147,1,0,156,10,0,10,0,12,0.9932,passed,2026-07-08T18:47:45Z,Error: expect(locator).toHaveCount(expected) failed
automation-run-artifact-folder-only-recvlg9ouvsmyq.spec.ts :: Automation run artifact folder-only fallback (recvlg9OUVSmYq) > enumerates per-file artifact entries when 产出物 section only shows a folder path,windows,automation,100,98,0,0,100,1,1,1,1,2,1.0000,passed,2026-07-08T18:47:45Z,Error: expect(locator).toBeVisible() failed
automation-run-history-live-status-recvmAP2pUqI3A.spec.ts :: Automation run history live status refresh (recvmAP2pUqI3A) > refreshes the selected run record while runTaskNow is still in flight,macos,automation,2,2,0,0,2,0,0,0,0,0,1.0000,passed,,
automation-run-history-live-status-recvmAP2pUqI3A.spec.ts :: Automation run history live status refresh (recvmAP2pUqI3A) > refreshes the selected run record while runTaskNow is still in flight,windows,automation,1,1,0,0,1,0,0,0,0,0,1.0000,passed,,
automation-run-history-tab-region-recvmLLz6NCypZ.spec.ts :: Automation run history tab hit testing (recvmLLz6NCypZ) > keeps the sticky detail navigation no-drag and switches to run history on click,macos,automation,147,147,1,0,147,1,0,1,0,3,0.9932,passed,2026-07-08T18:47:45Z,Error: expect(locator).toBeVisible() failed
automation-run-history-tab-region-recvmLLz6NCypZ.spec.ts :: Automation run history tab hit testing (recvmLLz6NCypZ) > keeps the sticky detail navigation no-drag and switches to run history on click,windows,automation,99,98,0,0,99,1,0,1,0,1,1.0000,passed,2026-07-08T18:47:45Z,Error: expect(locator).toBeVisible() failed
automation-run-now-interrupted-recvnypkXjIl9Q.spec.ts :: Automation Run Now interrupted session handling (recvnypkXjIl9Q) > does not show a run-failed dialog after the user manually stops the run session,macos,automation,4,4,0,0,4,0,0,0,0,0,1.0000,passed,,
